# staged exhibit — APSB25-94 public advisory reconstruction — NOT customer data
# Apache combined log format. Represents ~45m of traffic on a compromised
# Magento 2.4.x store captured during IR. Three distinct attacker arcs:
#   198.51.100.23  — pre-compromise recon (404s on common exploit probes)
#   198.51.100.77  — APSB25-94 exploitation vector (REST guest-carts, SOAP, auth bypass)
#   203.0.113.42   — post-compromise webshell operation at the .cache/a.php path,
#                    URL-evasion double-extension (.jpg/.png/.gif) GETs + command POSTs
# Legitimate user IPs draw from 192.0.2.0/24 (RFC 5737 TEST-NET-1). Attacker IPs
# use 198.51.100.0/24 and 203.0.113.0/24 (RFC 5737 TEST-NET-2/3). No real ranges.
192.0.2.66 - - [22/Mar/2026:14:17:29 +0000] "GET /pub/media/wysiwyg/home-banner.jpg HTTP/1.1" 200 44210 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.67 - - [22/Mar/2026:14:17:44 +0000] "GET /sales/order/history/ HTTP/1.1" 200 5112 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:17:58 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 1024 "-" "python-requests/2.31"
192.0.2.68 - - [22/Mar/2026:14:18:16 +0000] "GET /checkout/ HTTP/1.1" 200 12880 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.69 - - [22/Mar/2026:14:18:32 +0000] "POST /checkout/onepage/saveBilling/ HTTP/1.1" 200 2100 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.70 - - [22/Mar/2026:14:18:49 +0000] "GET /pub/static/frontend/Magento/luma/en_US/css/styles-l.css HTTP/1.1" 200 112044 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1"
192.0.2.71 - - [22/Mar/2026:14:19:03 +0000] "GET /catalog/category/view/id/12/ HTTP/1.1" 200 16100 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
203.0.113.42 - - [22/Mar/2026:14:19:21 +0000] "GET /pub/media/catalog/product/.cache/a.php/sprite.gif HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.72 - - [22/Mar/2026:14:19:38 +0000] "GET /customer/account/ HTTP/1.1" 200 6211 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.73 - - [22/Mar/2026:14:19:54 +0000] "POST /customer/section/load/ HTTP/1.1" 200 1204 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
203.0.113.42 - - [22/Mar/2026:14:20:07 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 2048 "-" "python-requests/2.31"
192.0.2.74 - - [22/Mar/2026:14:20:22 +0000] "GET /pub/media/wysiwyg/featured-products.jpg HTTP/1.1" 200 51200 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.75 - - [22/Mar/2026:14:20:41 +0000] "GET /catalog/product/view/id/200/ HTTP/1.1" 200 21400 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.76 - - [22/Mar/2026:14:21:03 +0000] "GET /checkout/cart/ HTTP/1.1" 200 4720 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.77 - - [22/Mar/2026:14:21:22 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Checkout/js/view/progress-bar.js HTTP/1.1" 200 5412 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.78 - - [22/Mar/2026:14:21:41 +0000] "GET /catalogsearch/result/?q=hat HTTP/1.1" 200 8200 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.79 - - [22/Mar/2026:14:22:02 +0000] "POST /checkout/onepage/saveShippingMethod/ HTTP/1.1" 200 1800 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.80 - - [22/Mar/2026:14:22:28 +0000] "GET /sales/order/history/ HTTP/1.1" 200 5112 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
